WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
3463199.001;03/02/2020;12/31/1899;SMTMVT         ;W;L;L;;;;0;.;;68-3073-40     ;'3.5X16''.024 CROWN ALABASTER -2';;;;
3463200.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G98  ;61.0625;61 1/16;20;35.8750;35 7/8;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2';61.2500;61 1/4;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2'
3463200.002;03/02/2020;12/31/1899;BVT15          ;W;L;L;G98  ;61.0625;61 1/16;20;35.8750;35 7/8;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2';61.2500;61 1/4;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2'
3463200.003;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;69.9375;69 15/16;24;76.8750;76 7/8;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2';70.5000;70 1/2;68-3183-40     ;'3.5" X 16'' DAZZLE MARINE -2'
3463210.001;03/02/2020;03/02/2020;SMTMVT         ;W;L;L;;;;0;.;;68-3056-40     ;'3.5 X 16'' .024 CROWN WHITE -1';;;;
3463210.002;03/02/2020;03/02/2020;SMTMVT         ;W;R;R;;;;0;.;;68-3056-40     ;'3.5 X 16'' .024 CROWN WHITE -1';;;;
3463227.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;70.7500;70 3/4;23;94.9375;94 15/16;02553-32       ;3.5" HARMONY CITYSCAPE;72.6250;72 5/8;02553-32       ;3.5" HARMONY CITYSCAPE
3463228.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;81.2500;81 1/4;26;81.5000;81 1/2;68-9014-40     ;3.5X16 STOWE BONE -2;81.5000;81 1/2;68-9014-40     ;3.5X16 STOWE BONE -2
3463246.001;03/02/2020;03/02/2020;BVT15          ;W;L;L;G85  ;29.5000;29 1/2;10;73.5000;73 1/2;68-3612-40     ;3.5X16 RAPTURE BLEACH -2;29.7500;29 3/4;68-3612-40     ;3.5X16 RAPTURE BLEACH -2
3463246.002;03/02/2020;03/02/2020;BVT15          ;B;R;R;G85  ;166.0000;166;53;74.0000;74;68-3612-40     ;3.5X16 RAPTURE BLEACH -2;166.2500;166 1/4;68-3612-40     ;3.5X16 RAPTURE BLEACH -2
3463248.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G98  ;55.8125;55 13/16;18;45.9375;45 15/16;02484-01       ;3.5 BRGHTN TUNDRA BULK;56.0000;56;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463251.001;03/02/2020;12/31/1899;BVT15          ;B;L;L;G85  ;113.7500;113 3/4;37;82.5000;82 1/2;68-9312-40     ;3.5X16CR DPLX MSTY GRY -2;114.0000;114;68-9312-40     ;3.5X16CR DPLX MSTY GRY -2
3463263.001;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;43.6875;43 11/16;14;55.5000;55 1/2;02574-41       ;3.5" TUVALU CREAM SILK;45.8750;45 7/8;02574-41       ;3.5" TUVALU CREAM SILK
3463263.002;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;39.6875;39 11/16;14;55.5000;55 1/2;02574-41       ;3.5" TUVALU CREAM SILK;41.8750;41 7/8;02574-41       ;3.5" TUVALU CREAM SILK
3463284.001;03/02/2020;12/31/1899;BVT15          ;B;R;S;G98  ;109.9375;109 15/16;36;83.6875;83 11/16;02484-01       ;3.5 BRGHTN TUNDRA BULK;110.5000;110 1/2;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463293.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;93.2500;93 1/4;30;91.0000;91;68-3418-40     ;3.5X16 CR BRUSSELS SPROUT -2;93.5000;93 1/2;68-3418-40     ;3.5X16 CR BRUSSELS SPROUT -2
3463298.001;03/02/2020;12/31/1899;BVT15          ;B;R;S;G85  ;69.2500;69 1/4;24;44.7500;44 3/4;68-6697-40     ;'3.5"X16''GRGTOWN-S FLAX -3';69.5000;69 1/2;68-6497-40     ;'3.5"X16''CRWN GRGTOWN FLAX -3'
3463322.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;36.7500;36 3/4;12;53.5000;53 1/2;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2';37.0000;37;68-6585-40     ;'3.5" X 16'' GROTTO WHITE -2'
